PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
195,0.158611,0.0386,0.0323991,0.00590206,0.127148,480,0.24338,0.33164,,10.2361,1.30149,56.1905
196,0.425404,0.0386,0.0342159,0.00590206,0.134277,480,0.24338,0.33164,,9.69257,1.30149,56.1905
197,0.117561,0.0386,0.0228626,0.00590206,0.0897223,480,0.24338,0.33164,,14.5058,1.30149,56.1905
198,0.0297585,0.0386,0.0236617,0.00590206,0.0928584,480,0.24338,0.33164,,14.0159,1.30149,56.1905
199,0.395898,0.0386,0.0567947,0.00590206,0.222886,480,0.24338,0.33164,,5.83927,1.30149,56.1905
200,0.0694612,0.0386,0.0599232,0.00590206,0.235164,480,0.24338,0.33164,,5.53441,1.30149,56.1905
201,0.211627,0.0386,0.113152,0.00590206,0.444056,480,0.24338,0.33164,,2.93092,1.30149,56.1905
202,0.395039,0.0386,0.114864,0.00590206,0.450775,480,0.24338,0.33164,,2.88723,1.30149,56.1905
203,0.22245,0.0386,0.050395,0.00590206,0.197771,480,0.24338,0.33164,,6.58081,1.30149,56.1905
204,0.170121,0.0386,0.0344651,0.00590206,0.135255,480,0.24338,0.33164,,9.62248,1.30149,56.1905
205,0.257376,0.0386,0.00631587,0.00590206,0.0247861,480,0.24338,0.33164,,52.509,1.30149,56.1905
206,0.479567,0.0386,0.00791968,0.00590206,0.0310801,480,0.24338,0.33164,,41.8754,1.30149,56.1905
207,0.566557,0.0386,0.0324371,0.00590206,0.127297,480,0.24338,0.33164,,10.2241,1.30149,56.1905
208,0.0801074,0.0386,0.0794166,0.00590206,0.311664,480,0.24338,0.33164,,4.17595,1.30149,56.1905
209,0.16283,0.0386,0.0650106,0.00590206,0.255129,480,0.24338,0.33164,,5.10132,1.30149,56.1905
210,0.239034,0.0386,0.0455376,0.00590206,0.178709,480,0.24338,0.33164,,7.28276,1.30149,56.1905
211,0.12151,0.0386,0.048649,0.00590206,0.190919,480,0.24338,0.33164,,6.81699,1.30149,56.1905
212,0.0894831,0.0386,0.0124765,0.00590206,0.048963,480,0.24338,0.33164,,26.5811,1.30149,56.1905
213,0.192473,0.0386,0.0205783,0.00590206,0.0807578,480,0.24338,0.33164,,16.116,1.30149,56.1905
214,0.336236,0.0386,0.0119978,0.00590206,0.0470843,480,0.24338,0.33164,,27.6418,1.30149,56.1905
215,0.412235,0.0386,0.0362176,0.00590206,0.142133,480,0.24338,0.33164,,9.15687,1.30149,56.1905
216,0.0360392,0.0386,0.0177581,0.00590206,0.0696903,480,0.24338,0.33164,,18.6754,1.30149,56.1905
217,0.129508,0.0386,0.0255443,0.00590206,0.100246,480,0.24338,0.33164,,12.9829,1.30149,56.1905
218,0.139857,0.0386,0.0238851,0.00590206,0.0937351,480,0.24338,0.33164,,13.8848,1.30149,56.1905
219,0.325007,0.0386,0.091402,0.00590206,0.3587,480,0.24338,0.33164,,3.62836,1.30149,56.1905
220,0.425266,0.0386,0.035189,0.00590206,0.138097,480,0.24338,0.33164,,9.42452,1.30149,56.1905
221,0.179114,0.0386,0.0107163,0.00590206,0.0420552,480,0.24338,0.33164,,30.9473,1.30149,56.1905
222,0.296787,0.0386,0.0048552,0.00590206,0.0190538,480,0.24338,0.33164,,68.3061,1.30149,56.1905
223,0.330933,0.0386,0.0898731,0.00590206,0.3527,480,0.24338,0.33164,,3.69009,1.30149,56.1905
224,0.128892,0.0386,0.101004,0.00590206,0.396382,480,0.24338,0.33164,,3.28343,1.30149,56.1905
225,0.179512,0.0386,0.0374988,0.00590206,0.147161,480,0.24338,0.33164,,8.84401,1.30149,56.1905
226,0.386293,0.0386,0.0757874,0.00590206,0.297421,480,0.24338,0.33164,,4.37592,1.30149,56.1905
227,0.246874,0.0386,0.0472835,0.00590206,0.18556,480,0.24338,0.33164,,7.01386,1.30149,56.1905
228,0.0552539,0.0386,0.262642,0.00590206,1.03072,480,0.24338,0.33164,,1.26271,1.30149,56.1905
229,0.226576,0.0386,0.00837819,0.00590206,0.0328795,480,0.24338,0.33164,,39.5837,1.30149,56.1905
